,_algo,_code_bits,_ncodebooks,corr,dataset,err,norm_mean,rel_err
67,PQ,8,8,-0.8202862895370672,Mnist,118491.00755781814,True,-3.5886179371057274
68,PQ,8,8,-0.9069927132971476,Mnist,1039467.2417476781,True,-2.6606582736635276
69,PQ,8,8,-0.7801772458074119,Mnist,-536350.7596653167,True,-2.575046415408697
70,PQ,8,8,-0.8448452556422966,Mnist,-116753.89284462109,True,-2.6562133465496043
71,PQ,8,8,-0.906198274792233,Mnist,-324227.9856781976,True,-5.227308470281885
72,PQ,8,8,-0.8300588657401636,Mnist,-658115.9457511882,True,-4.108034482457816
73,PQ,8,8,-0.898755311849428,Mnist,-1586306.4465478812,True,-1.3472876756341055
74,PQ,8,8,-0.8954823611603314,Mnist,-195783.04492736375,True,-3.598223146885169
75,PQ,8,8,-0.8753710352140929,Mnist,-806832.5276394903,True,-3.022281975852736
76,PQ,8,8,-0.8919135745472359,Mnist,1188578.7019462173,True,-1.7321932533602507
77,PQ,8,8,-0.8632009533509736,Mnist,-1824684.9423003038,True,-4.528281126059699
78,PQ,8,8,-0.9060902364316888,Mnist,-2382066.4580669114,True,-2.8121833580993103
79,PQ,8,8,-0.8714074815377019,Mnist,-1599539.9730516244,True,-2.376133044428461
80,PQ,8,8,-0.8640845586163646,Mnist,1194303.9010669587,True,-1.024191954661343
81,PQ,8,8,-0.8691392625774,Mnist,-1080019.2172517604,True,0.6273965073691085
82,PQ,8,8,-0.8612555195290835,Mnist,641776.4663586577,True,-1.0244133653590644
83,PQ,8,8,-0.8812277735838637,Mnist,-548464.4530445854,True,-4.975161892897237
84,PQ,8,8,-0.7786466684855642,Mnist,-533953.5880673383,True,-0.9071240013003147
85,PQ,8,8,-0.8848775612636366,Mnist,1679971.202412219,True,-0.47539635402704383
86,PQ,8,8,-0.9041574672859578,Mnist,-1635029.2346558487,True,-1.9794144440773296
87,PQ,8,8,-0.8767908634927672,Mnist,-1030079.8378274078,True,-2.3801490289871396
88,PQ,8,8,-0.8666898402402834,Mnist,589974.0586568542,True,-1.6353638576670395
89,PQ,8,8,-0.9180614372389798,Mnist,-425369.60985042114,True,-3.659579048511066
90,PQ,8,8,-0.8861070151355099,Mnist,479775.19371513167,True,-1.742268215426762
91,PQ,8,8,-0.8337208258350203,Mnist,-823269.2176321042,True,-3.8572423085799525
92,PQ,8,8,-0.8930344586425846,Mnist,729619.9562011581,True,-2.3582978263587235
93,PQ,8,8,-0.9168254207001495,Mnist,-1094939.6554128947,True,-2.563580302432827
94,PQ,8,8,-0.8849374193329261,Mnist,621878.1594273609,True,-10.514745387806034
95,PQ,8,8,-0.8660136926738706,Mnist,2185726.392201678,True,-1.377284113185443
96,PQ,8,8,-0.8941670037841644,Mnist,100053.72841236403,True,-1.5380828167491314
97,PQ,8,8,-0.8216898271643008,Mnist,-805910.3689468537,True,9.583197594263359
98,PQ,8,8,-0.802805229000927,Mnist,-346187.3708211022,True,0.7488651866636982
99,PQ,8,8,-0.8769734151665748,Mnist,-74011.71409597178,True,-4.506201298927382
100,PQ,8,8,-0.8405162316203976,Mnist,316548.53099362383,True,-1.7878747393709893
101,PQ,8,8,-0.8779139187098017,Mnist,1128945.4791170186,True,-0.17703760440530378
102,PQ,8,8,-0.8108808723644579,Mnist,-1711571.4433580553,True,-3.1250256247134987
103,PQ,8,8,-0.8575441253208353,Mnist,-1068138.9471614931,True,-6.091749085851634
104,PQ,8,8,-0.8577356835459721,Mnist,895030.1022710659,True,-0.3491333618176272
105,PQ,8,8,-0.8867338746629045,Mnist,-956728.7070011538,True,-0.9387112545088054
106,PQ,8,8,-0.856891986991209,Mnist,779837.6441665005,True,-2.323164269839538
107,PQ,8,8,-0.8960048081851391,Mnist,-550921.6099769337,True,-5.032741007616915
108,PQ,8,8,-0.8686425460159407,Mnist,-299314.4168973481,True,-1.5443189120963712
109,PQ,8,8,-0.8327965088057843,Mnist,1305573.739324468,True,-4.592285862436896
110,PQ,8,8,-0.8745271723567619,Mnist,-1788723.2869110615,True,-1.6064418266077742
111,PQ,8,8,-0.9120167859090319,Mnist,625224.8511891793,True,-2.4263634972326953
112,PQ,8,8,-0.8786541194662407,Mnist,-1261323.8604992419,True,-3.4350615497897876
113,PQ,8,8,-0.8850031374519491,Mnist,-324799.47762887273,True,-2.191667859419827
114,PQ,8,8,-0.9049531905792637,Mnist,-967450.7287499788,True,-3.6058403736067843
115,PQ,8,8,-0.8491002035964975,Mnist,17154.790502305666,True,-3.9160341754496306
116,PQ,8,8,-0.8759008041778711,Mnist,421698.30333489535,True,-4.369575289931128
117,PQ,8,8,-0.8624605630287225,Mnist,-1222423.495805128,True,-2.2251327978641084
118,PQ,8,8,-0.8512834214678459,Mnist,773593.2656304941,True,-1.9095882850562604
119,PQ,8,8,-0.8620008678371345,Mnist,-1949199.8449053522,True,-1.6667544811668846
120,PQ,8,8,-0.8990392186096879,Mnist,-260161.65263421746,True,-2.89567002641241
121,PQ,8,8,-0.8533100382085551,Mnist,-99781.13168758419,True,-3.090989234256659
122,PQ,8,8,-0.8848832956004221,Mnist,-1405699.6051451066,True,1.068289965335583
123,PQ,8,8,-0.8228548081647393,Mnist,33759.38314341084,True,0.7016720397851867
124,PQ,8,8,-0.8222410493271807,Mnist,398072.16781294753,True,24.192467474360647
125,PQ,8,8,-0.8265981502624725,Mnist,1534964.2820063836,True,-3.39575296409496
126,PQ,8,8,-0.8187685429235011,Mnist,-1044522.0869315027,True,-6.499667878679642
127,PQ,8,8,-0.8476831115727769,Mnist,601626.985683437,True,-1.6145399319883325
128,PQ,8,8,-0.8512456438401313,Mnist,-446215.364694042,True,-3.289219476755568
